party,per_14,per_19
SWP,23.27%,32.91%
UDP,22.31%,10.89%
AIMIM,21.83%,6.88%
JD(U),21.69%,4.20%
JVM,21.26%,6.77%
PMK,21.04%,15.63%
RJD,17.76%,16.17%
UPPL,17.59%,0.00%
BLSP,17.42%,17.96%
SP,17.41%,6.07%
HAMS,17.20%,0.00%
INC,16.95%,14.59%
DMDK,15.47%,10.58%
TMC(M),15.12%,0.00%
NCP,14.04%,15.89%
KEC,12.86%,0.00%
IUML,10.88%,2.87%
LIP,9.96%,0.00%
NAWPP,9.29%,0.00%
JMM,9.02%,5.10%
VSIP,8.99%,0.00%
MSHP,8.43%,0.00%
RSP,7.74%,19.04%
SHS,7.46%,11.05%
BDJS,7.41%,0.00%
CPIM,7.01%,0.15%
JKN,6.99%,10.72%
PUNEKP,6.18%,0.00%
JDL,5.82%,0.00%
JAPL,5.18%,0.00%
JNJP,5.07%,0.00%
VCK,5.03%,19.75%
JnP,4.87%,0.00%
AAAP,4.76%,1.73%
ASDC,4.64%,0.00%
CPI,4.47%,4.74%
VBA,4.31%,0.00%
TJS,4.01%,0.00%
PPA,3.45%,6.19%
IPFT,3.42%,0.89%
BSP,3.40%,3.02%
JPC,3.33%,5.98%
NPEP,3.28%,5.51%
JKPDP,3.10%,10.44%
MNM,2.86%,0.00%
NTK,2.85%,0.00%
CPI(ML)(L),1.90%,0.85%
NEINDP,1.90%,0.00%
WAP,1.75%,0.00%
LTSP,1.70%,0.00%
PRISMP,1.68%,0.00%
SAD(M),1.66%,0.26%
BTP,1.64%,0.00%
SJDD,1.38%,0.00%
INLD,1.33%,17.39%
PHJSP,1.08%,0.00%
PDP,1.03%,0.00%
SDPI,0.87%,1.05%
JHP,0.81%,0.97%
BRPI,0.77%,0.12%
RAIM,0.72%,0.00%
ABSKP,0.72%,0.00%
SBSP,0.72%,0.52%
NOTA,0.72%,0.69%
DSSP,0.71%,0.00%
RSPSR,0.70%,0.00%
JMM(U),0.68%,0.25%
WPOI,0.67%,0.61%
AHFBK,0.66%,0.00%
AIPF,0.64%,0.15%
RAHIS,0.63%,0.00%
RVNP,0.61%,0.11%
SADT,0.61%,0.00%
AJPR,0.61%,0.00%
BJSTP,0.61%,0.00%
LAJSP,0.60%,0.00%
BBMP,0.58%,0.29%
JKP,0.58%,3.73%
ravp,0.57%,0.40%
AKBMP,0.56%,0.36%
JKP(N),0.56%,0.35%
AIFB,0.56%,1.99%
SamSP,0.55%,0.15%
OPD,0.55%,0.00%
ABGP,0.55%,0.00%
GGP,0.54%,0.61%
NPRP,0.54%,0.00%
JDR,0.54%,0.38%
BKPP,0.53%,0.21%
AKBJHP,0.52%,0.39%
RPI(KM),0.50%,0.00%
RMPOI,0.50%,0.00%
BhAmAP,0.50%,0.00%
SSD,0.50%,0.20%
CHKAP,0.49%,0.00%
ADRP,0.49%,0.00%
ADUP,0.48%,0.27%
RSWD,0.47%,0.44%
BAEP,0.47%,0.00%
NSBHP,0.46%,0.00%
HMSKP,0.46%,0.00%
LKSGM,0.44%,0.00%
YKP,0.44%,0.00%
APKSP,0.43%,0.00%
SPL,0.43%,0.00%
AIJAP,0.40%,0.00%
UPP,0.40%,0.16%
AAM,0.40%,0.00%
MOSP,0.39%,0.15%
AHNP,0.39%,0.00%
INCP,0.38%,0.00%
LSD,0.37%,0.00%
BNDl,0.36%,0.00%
PMP,0.35%,0.00%
SKPP,0.35%,0.00%
SADSP,0.35%,0.00%
GJNP,0.34%,0.00%
BJKVP,0.34%,0.23%
NPSF,0.34%,0.00%
SAPRP,0.33%,0.00%
RMGP,0.33%,0.06%
BhNP,0.33%,0.11%
